stage,chain,draw,diverging
base,1,34,False
base,1,35,False
base,1,36,False
base,1,37,False
base,1,38,False
base,1,39,False
base,1,40,False
base,1,41,False
base,1,42,False
base,1,43,False
base,1,44,False
base,1,45,False
base,1,46,False
base,1,47,False
base,1,48,False
base,1,49,False
base,1,50,False
base,1,51,False
base,1,52,False
base,1,53,False
base,1,54,False
base,1,55,False
base,1,56,False
base,1,57,False
base,1,58,False
base,1,59,False
base,1,60,False
base,1,61,False
base,1,62,False
base,1,63,False
base,1,64,False
base,1,65,False
base,1,66,False
base,1,67,False
base,1,68,False
base,1,69,False
base,1,70,False
base,1,71,False
base,1,72,False
base,1,73,False
base,1,74,False
base,1,75,False
base,1,76,False
base,1,77,False
base,1,78,False
base,1,79,False
base,1,80,False
base,1,81,False
base,1,82,False
base,1,83,False
base,1,84,False
base,1,85,False
base,1,86,False
base,1,87,False
base,1,88,False
base,1,89,False
base,1,90,False
base,1,91,False
base,1,92,False
base,1,93,False
base,1,94,False
base,1,95,False
base,1,96,False
base,1,97,False
base,1,98,False
base,1,99,False
base,1,100,False
base,1,101,False
base,1,102,False
base,1,103,False
base,1,104,False
base,1,105,False
base,1,106,False
base,1,107,False
base,1,108,False
base,1,109,False
base,1,110,False
base,1,111,False
base,1,112,False
base,1,113,False
base,1,114,False
base,1,115,False
base,1,116,False
base,1,117,False
base,1,118,False
base,1,119,False
base,1,120,False
base,1,121,False
base,1,122,False
base,1,123,False
base,1,124,False
base,1,125,False
base,1,126,False
base,1,127,False
base,1,128,False
base,1,129,False
base,1,130,False
base,1,131,False
base,1,132,False
base,1,133,False
base,1,134,False
base,1,135,False
base,1,136,False
base,1,137,False
base,1,138,False
base,1,139,False
base,1,140,False
base,1,141,False
base,1,142,False
base,1,143,False
base,1,144,False
base,1,145,False
base,1,146,False
base,1,147,False
base,1,148,False
base,1,149,False
base,1,150,False
base,1,151,False
base,1,152,False
base,1,153,False
base,1,154,False
base,1,155,False
base,1,156,False
base,1,157,False
base,1,158,False
base,1,159,False
base,1,160,False
base,1,161,False
base,1,162,False
base,1,163,False
base,1,164,False
base,1,165,False
base,1,166,False
base,1,167,False
base,1,168,False
base,1,169,False
base,1,170,False
base,1,171,False
base,1,172,False
base,1,173,False
base,1,174,False
base,1,175,False
base,1,176,False
